Title;Licensee;Released;Release Year;Release Month
Fun House;Hi-Tech;January 1991;1991;01
G.I. Joe;Taxan;January 1991;1991;01
G.I. Joe: The Atlantis Factor;Capcom;March 1992;1992;03
Galaga;Bandai;September 1988;1988;09
Galaxy 5000;Activision;February 1991;1991;02
Gargoyle's Quest II;Capcom;October 1992;1992;10
Gauntlet II;Mindscape;September 1990;1990;09
Gemfire;Koei;March 1992;1992;03
Genghis Khan;Koei;January 1990;1990;01
George Foreman's KO Boxing;Acclaim;December 1992;1992;12
Ghostbusters;Activision;October 1988;1988;10
Ghostbusters II;Activision;April 1990;1990;04
Ghosts 'N Goblins;Capcom;November 1986;1986;11
Ghoul School;Electro Brain;March 1992;1992;03
Goal!;Jaleco;October 1989;1989;10
Goal! Two;Jaleco;November 1992;1992;11
Godzilla;Toho;October 1989;1989;10
Godzilla 2: War of the Monsters;Toho;February 1992;1992;02
Gold Medal Challenge '92;Capcom;August 1992;1992;08
Golf;Nintendo;October 1985;1985;10
Golf Grand Slam;Atlus Software;December 1991;1991;12
Golgo 13: Top Secret Episode;Vic Tokai;September 1988;1988;09
Goonies II, The;Konami;November 1987;1987;11
Gotcha!;LJN;November 1987;1987;11
Gradius;Konami;December 1986;1986;12
Great Waldo Search, The;THQ;December 1992;1992;12
Greg Norman's Golf Power;Virgin Interactive;July 1992;1992;07
Gremlins 2: The New Batch;Sunsoft;October 1990;1990;10
Guardian Legend, The;Broderbund;April 1989;1989;04
Guerilla War;SNK;June 1989;1989;06
Gumshoe;Nintendo;June 1986;1986;06
Gun Nac;Ascii;September 1991;1991;09
Gunsmoke;Capcom;February 1988;1988;02
Gyromite;Nintendo;October 1985;1985;10
Gyruss;Ultra Soft;February 1989;1989;02
Harlem Globetrotters;Gametek;March 1991;1991;03
Hatris;Bullet Proof Software;April 1992;1992;04
Heavy Barrel;Data East;March 1990;1990;03
Heavy Shreddin';Parker Brothers;June 1990;1990;06
High Speed;Tradewest;July 1991;1991;07
Hogan's Alley;Nintendo;October 1985;1985;10
Hollywood Squares;Gametek;September 1989;1989;09
Home Alone;THQ;October 1991;1991;10
Home Alone 2: Lost in New York;THQ;October 1992;1992;10
Hook;Sony Imagesoft;April 1992;1992;04
Hoops;Jaleco;June 1989;1989;06
Hudson Hawk;Sony Imagesoft;February 1992;1992;02
Hunt for Red October, The;Hi-Tech;January 1991;1991;01
Hydlide;FCI;June 1989;1989;06
Ice Climber;Nintendo;October 1985;1985;10
Ice Hockey;Nintendo;March 1988;1988;03
Ikari Warriors;SNK;May 1987;1987;05
Ikari Warriors II: Victory Road;SNK;April 1988;1988;04
Ikari Warriors III: The Rescue;SNK;February 1991;1991;02
Image Fight;Irem;July 1990;1990;07
Immortal, The;Electronic Arts;November 1990;1990;11
Incredible Crash Dummies, The;LJN;August 1994;1994;08
